21XRenault3,X,Renault,2021,3000,20000,300,electric_batteries
9XTesla6,X,Tesla,2009,300,3000,600,electric_batteries
15YTesla5,Y,Tesla,2015,450,4700,500,electric_batteries
20IJaguar4,I-Pace,Jaguar,2020,200,10000,400,biodiesel
7LRulz5,Loco_Contigo,Rulz,2007,270,20000,560,biodiesel
2ePeugeot1,e-208,Peugeot,2002,120,10500,190,hydrogen
15Fiat1,500,Fiat,2001,111,10600,150,biodiesel
73Tesla7,3,Tesla,2007,234,5700,700,electric_batteries
22XVolkswagen8,X,Volkswagen,2022,146,4560,867,hydrogen
0STesla3,S,Tesla,2000,80,21999,300,electric_batteries
